Gene stable ID	Transcript length (including UTRs and CDS)
WBGene00000001	1806
WBGene00000002	1739
WBGene00000003	1738
WBGene00000004	1750
WBGene00000004	2020
WBGene00000005	1804
WBGene00000006	1876
WBGene00000007	1765
WBGene00000007	1542
WBGene00000008	1593
WBGene00000009	1562
WBGene00000010	2087
WBGene00000010	2047
WBGene00000012	314
WBGene00000013	258
WBGene00000014	270
WBGene00000015	441
WBGene00000016	479
WBGene00000017	702
WBGene00000018	4085
WBGene00000018	4078
WBGene00000018	4128
WBGene00000018	4088
WBGene00000018	3998
WBGene00000019	4719
WBGene00000019	4440
WBGene00000020	6672
WBGene00000020	6330
WBGene00000022	5543
WBGene00000023	4875
WBGene00000024	1405
WBGene00000025	1719
WBGene00000027	1060
WBGene00000028	1008
WBGene00000029	1167
WBGene00000030	1466
WBGene00000031	1523
WBGene00000032	1137
WBGene00000033	1268
WBGene00000034	1295
WBGene00000035	2468
WBGene00000036	2985
WBGene00000036	2841
WBGene00000037	2200
WBGene00000038	2065
WBGene00000039	3082
WBGene00000040	2831
WBGene00000041	2739
WBGene00000041	2533
WBGene00000041	2599
WBGene00000041	2133
WBGene00000042	2037
WBGene00000043	1659
WBGene00000044	2059
WBGene00000045	1666
WBGene00000046	1723
WBGene00000047	1810
WBGene00000047	1772
WBGene00000048	1944
WBGene00000049	1743
WBGene00000050	1473
WBGene00000051	2059
WBGene00000051	1449
WBGene00000053	1503
WBGene00000054	1501
WBGene00000055	1822
WBGene00000056	1623
WBGene00000056	1551
WBGene00000056	237
WBGene00000056	126
WBGene00000057	1615
WBGene00000058	1897
WBGene00000058	1886
WBGene00000059	1841
WBGene00000059	1814
WBGene00000059	1671
WBGene00000060	1981
WBGene00000060	1842
WBGene00000060	1815
WBGene00000060	1749
WBGene00000061	1478
WBGene00000062	1792
WBGene00000062	1695
WBGene00000063	1264
WBGene00000064	1281
WBGene00000065	1474
WBGene00000065	1558
WBGene00000065	1553
WBGene00000066	1601
WBGene00000066	999
WBGene00000067	1270
WBGene00000068	4234
WBGene00000069	3313
WBGene00000070	4040
WBGene00000071	3265
WBGene00000072	2213
WBGene00000072	2544
WBGene00000072	2452
WBGene00000072	2364
WBGene00000072	2157
WBGene00000073	1951
WBGene00000073	885
WBGene00000074	3255
WBGene00000074	3261
WBGene00000075	2522
WBGene00000079	3101
WBGene00000079	2761
WBGene00000079	2885
WBGene00000079	303
WBGene00000079	348
WBGene00000080	1622
WBGene00000081	1879
WBGene00000082	4802
WBGene00000082	4697
WBGene00000083	3686
WBGene00000083	378
WBGene00000083	4359
WBGene00000084	3225
WBGene00000084	3222
WBGene00000085	1220
WBGene00000086	4582
WBGene00000086	4507
WBGene00000088	1798
WBGene00000089	972
WBGene00000090	3929
WBGene00000090	231
WBGene00000092	2264
WBGene00000092	2137
WBGene00000092	1071
WBGene00000092	942
WBGene00000092	2267
WBGene00000092	1579
WBGene00000092	1284
WBGene00000092	1117
WBGene00000092	1015
WBGene00000092	306
WBGene00000093	776
WBGene00000093	402
WBGene00000094	1463
WBGene00000095	1603
WBGene00000096	1871
WBGene00000096	1771
WBGene00000097	1059
WBGene00000098	1338
WBGene00000099	1112
WBGene00000099	1191
WBGene00000100	6044
WBGene00000100	5558
WBGene00000100	5394
WBGene00000100	5013
WBGene00000100	5046
WBGene00000100	5141
WBGene00000100	5898
WBGene00000100	3534
WBGene00000100	5718
WBGene00000100	4464
WBGene00000100	4148
WBGene00000100	3903
WBGene00000100	3831
WBGene00000100	4935
WBGene00000100	4710
WBGene00000100	4578
WBGene00000101	4264
WBGene00000101	4279
WBGene00000101	1948
WBGene00000102	2069
WBGene00000102	2086
WBGene00000102	765
WBGene00000103	2002
WBGene00000103	2381
WBGene00000105	4592
WBGene00000105	5005
WBGene00000105	6283
WBGene00000105	3072
WBGene00000106	4142
WBGene00000106	3160
WBGene00000107	1690
WBGene00000107	1675
WBGene00000107	1592
WBGene00000108	1641
WBGene00000109	2864
WBGene00000110	1582
WBGene00000110	1922
WBGene00000110	2304
WBGene00000110	2213
WBGene00000111	1383
WBGene00000112	1837
WBGene00000112	1936
WBGene00000112	2402
WBGene00000112	1185
WBGene00000112	1272
WBGene00000113	1756
WBGene00000113	866
WBGene00000114	1761
WBGene00000114	342
WBGene00000115	1826
WBGene00000115	1966
WBGene00000116	1654
WBGene00000117	2156
WBGene00000117	1589
WBGene00000117	1575
WBGene00000118	1541
WBGene00000118	1584
WBGene00000120	774
WBGene00000121	786
WBGene00000122	965
WBGene00000123	6020
WBGene00000133	1739
WBGene00000134	1754
WBGene00000135	2384
WBGene00000136	2110
WBGene00000137	2641
WBGene00000138	2356
WBGene00000139	1756
WBGene00000139	1098
WBGene00000140	25858
WBGene00000140	22709
WBGene00000140	25617
WBGene00000142	1242
WBGene00000143	2312
WBGene00000144	664
WBGene00000144	639
WBGene00000144	639
WBGene00000144	679
WBGene00000145	469
WBGene00000146	2754
WBGene00000146	2538
WBGene00000146	1302
WBGene00000146	1026
WBGene00000147	1104
